Neighborhood,AGGRAVATED ASSAULT,ALL OTHER,ANIMAL CRUELTY,ARSON,ASSAULT OFFENSES,BURGLARY,DISORDERLY CONDUCT & VAGRANCY VIOLATIONS,DUI,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),GAMBLING OFFENSES,HOMICIDE,HUMAN TRAFFICKING,JUSTIFIABLE HOMICIDE,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS & DRUNKENNESS,MOTOR VEHICLE THEFT,NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),NON-VIOLENT FAMILY OFFENSES,PORNOGRAPHY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",PROSTITUTION OFFENSES,RAPE,ROBBERY,SEX OFFENSES,TRESPASS,UNKNOWN,VIOLATION OF NO CONTACT ORDER,WEAPON LAW VIOLATION,Grand Total
Rainier Valley,69,52,,3,133,58,1,13,40,,2,,,8,224,2,85,4,3,2,107,,8,29,7,15,,21,26,1031
Rainier Valley,21,26,,2,43,41,4,10,37,,,,,3,144,1,53,1,,,47,,1,7,3,9,,11,9,555
ROOSEVELT/RAVENNA,59,66,1,2,174,326,7,33,152,,2,,,4,1272,,281,10,8,4,223,,11,44,4,41,1,100,13,3043
ROXHILL/WESTWOOD/ARBOR HEIGHTS,50,52,,1,119,114,3,13,78,,,,,1,679,,94,14,1,4,125,,7,23,5,34,1,45,26,1644
West Seattle,57,43,2,9,165,196,6,12,129,,,,,4,676,,179,10,7,2,177,,7,23,8,9,,53,18,1949
Cascade,190,145,7,7,382,566,14,35,218,,,1,,22,1360,1,276,81,4,4,364,1,35,76,24,94,3,55,41,4480
Greater Duwamish,55,45,1,3,82,123,2,35,108,,3,,1,5,505,1,84,11,,1,164,,2,31,4,25,,9,25,1437
Beacon Hill,16,19,,1,33,22,,7,25,,,,1,1,53,1,26,2,,1,21,1,5,4,2,9,,17,9,309
Delridge,15,10,,1,32,24,1,5,11,,,,,1,97,,32,2,,,26,,,7,,3,,2,3,298
Greater Duwamish,18,16,,,43,41,1,21,21,,,,,1,71,,43,4,2,,44,,2,7,1,8,,15,7,414
Northeast,144,94,1,9,238,422,7,15,147,,2,,,9,1113,,347,35,7,3,308,,17,67,6,58,,51,31,3380
Queen Anne,16,32,,,25,26,2,20,76,,,1,,1,181,1,22,21,,5,41,3,25,9,6,6,1,7,13,1046
North Central,27,27,,3,64,184,5,9,74,,1,,,,494,2,143,2,,1,136,,3,20,3,22,1,18,4,1321
